Week start date;Cured mean number;Swabs mean number
2020-02-24;11.857142857142858;3018.1428571428573
2020-03-02;77.0;4115.714285714285
2020-03-09;244.71428571428572;10708.857142857143
2020-03-16;669.8571428571429;19071.85714285714
2020-03-23;858.0;27946.85714285714
2020-03-30;1255.0;33918.71428571428
2020-04-06;1770.857142857143;45533.142857142855
2020-04-13;1834.857142857143;49478.28571428572
2020-04-20;2553.285714285714;57302.57142857143
2020-04-27;2389.4285714285716;56587.57142857143
2020-05-04;3361.714285714286;58877.142857142855
2020-05-11;2855.714285714286;62721.142857142855
2020-05-18;2368.6666666666665;55586.333333333336
